Domain,StartTime,StartDay,StartHour,PingOutput
espncricinfo.com,21:48.5,16,7,Request timed out
cdc.gov,21:52.3,16,7,Request timed out
espncricinfo.com,21:56.4,16,7,Request timed out
gsmarena.com,22:00.4,16,7,131
india.com,22:00.5,16,7,6
mayoclinic.org,22:00.5,16,7,Request timed out
ebay.co.uk,22:04.3,16,7,Request timed out
booking.com,22:08.4,16,7,Request timed out
americanas.com.br,22:12.3,16,7,Request timed out
amazon.com,22:16.4,16,7,37
amazon.de,22:16.4,16,7,110
ilovepdf.com,22:16.5,16,7,13
ar.wikipedia.org,22:16.6,16,7,36
as.com,22:16.6,16,7,5
hotstar.com,22:16.6,16,7,4
booking.com,22:16.7,16,7,Request timed out
amazon.co.uk,22:20.4,16,7,110
mercadolivre.com.br,22:20.5,16,7,3
amazon.co.jp,22:20.5,16,7,55
epfindia.gov.in,22:20.6,16,7,Request timed out
naver.com,22:24.4,16,7,Request timed out
amazon.fr,22:28.3,16,7,112
onet.pl,22:28.5,16,7,4
accuweather.com,22:28.5,16,7,7
onet.pl,22:28.5,16,7,5
etsy.com,22:28.6,16,7,6
canva.com,22:28.6,16,7,13
fr.wikipedia.org,22:28.6,16,7,35
amazon.it,22:28.7,16,7,110
booking.com,22:28.8,16,7,Request timed out
youtube.com,22:32.4,16,7,14
es.wikipedia.org,22:32.4,16,7,34
allegro.pl,22:32.4,16,7,136
cricbuzz.com,22:32.7,16,7,251
goal.com,22:33.0,16,7,Request timed out
ebay.co.uk,22:36.9,16,7,Request timed out
dictionary.com,22:40.8,16,7,4
merriam-webster.com,22:40.9,16,7,4
as.com,22:40.9,16,7,4
apple.com,22:40.9,16,7,4
it.wikipedia.org,22:41.0,16,7,34
brainly.co.id,22:41.0,16,7,14
fandom.com,22:41.0,16,7,4
craigslist.org,22:41.1,16,7,30
amazon.co.uk,22:41.1,16,7,109
cdc.gov,22:41.2,16,7,Request timed out
canva.com,22:44.9,16,7,14
en.wikipedia.org,22:44.9,16,7,35
bestbuy.com,22:44.9,16,7,29
canva.com,22:45.0,16,7,12
aliexpress.com,22:45.0,16,7,115
amazon.co.uk,22:45.2,16,7,109
twitter.com,22:45.3,16,7,87
naver.com,22:45.4,16,7,Request timed out
ja.wikipedia.org,22:49.3,16,7,35
onet.pl,22:49.4,16,7,3
linkedin.com,22:49.4,16,7,4
kinopoisk.ru,22:49.4,16,7,279
fr.wikipedia.org,22:50.0,16,7,34
instagram.com,22:50.0,16,7,3
espn.com,22:50.1,16,7,3
amazon.it,22:50.1,16,7,109
amazon.co.jp,22:50.2,16,7,55
twitter.com,22:50.3,16,7,86
onet.pl,22:50.4,16,7,3
gsmarena.com,22:50.4,16,7,130
nytimes.com,22:50.5,16,7,4
nl.wikipedia.org,22:50.6,16,7,35
ar.wikipedia.org,22:50.6,16,7,34
mercadolivre.com.br,22:50.6,16,7,3
mayoclinic.org,22:50.7,16,7,Request timed out
id.wikipedia.org,22:54.4,16,7,34
nike.com,22:54.4,16,7,4
milliyet.com.tr,22:54.4,16,7,158
live.com,22:54.6,16,7,3
imdb.com,22:54.6,16,7,37
india.com,22:54.7,16,7,5
it.wikipedia.org,22:54.7,16,7,35
marca.com,22:54.8,16,7,109
fandom.com,22:54.9,16,7,5
canva.com,22:54.9,16,7,13
ar.wikipedia.org,22:54.9,16,7,34
it.wikipedia.org,22:55.0,16,7,34
amazon.de,22:55.0,16,7,112
craigslist.org,22:55.2,16,7,29
craigslist.org,22:55.3,16,7,29
amazon.co.uk,22:55.3,16,7,111
adobe.com,22:55.5,16,7,5
fr.wikipedia.org,22:55.5,16,7,35
omegle.com,22:55.5,16,7,14
accuweather.com,22:55.6,16,7,5
amazon.co.jp,22:55.6,16,7,57
it.wikipedia.org,22:55.7,16,7,35
milliyet.com.tr,22:55.7,16,7,160
hm.com,22:55.9,16,7,5
fandom.com,22:56.0,16,7,4
investopedia.com,22:56.0,16,7,5
aliexpress.com,22:56.0,16,7,116
kinopoisk.ru,22:56.1,16,7,279
google.com,22:56.4,16,7,14
clevelandclinic.org,22:56.5,16,7,27
pinterest.com,22:56.5,16,7,4
cnn.com,22:56.5,16,7,5
amazon.com,22:56.6,16,7,38
nl.wikipedia.org,22:56.6,16,7,37
id.wikipedia.org,22:56.7,16,7,36
